text,department
"my back is very sore Also, i have numbness in my extremities Also, i have difficulty walking Also, my joints are aching Furthermore, i feel pain in my neck On top of that, i feel pain in my knee Furthermore, i have a frozen shoulder I also experience i have hip pain I also experience my bones feel sore Plus, i feel muscle soreness Additionally, i have inflamed swollen joints Additionally, my joints are stiff Also, my movement is limited Also, i have a stress fracture Additionally, i have progressive muscle weakness Also, i experience unusual tingling Plus, i have plantar fasciitis-like heel pain Additionally, i injured myself during exercise",ORTHOPEDICS
"my back is very sore Also, parts of my body feel numb Also, i have difficulty walking Additionally, my joints are aching Additionally, my neck hurts Additionally, i have difficulty with my knee Also, my shoulder hurts Also, my hip hurts Also, my bones feel sore On top of that, my muscles are painful Plus, my joints are swollen I also experience my joints feel rigid I also experience i have difficulty moving I also experience my bone is broken I also experience my muscles are getting weaker Also, i feel tingling throughout my body Also, i have heel pain Also, i have a sports injury",ORTHOPEDICS
"I have polycystic ovary syndrome Furthermore, i have irregular periods Also, i have pregnancy-related problems Also, i have issues with my periods I also experience i have mild menstrual cramps On top of that, i have heavy periods Also, i have scanty periods Furthermore, my period is late Furthermore, i have amenorrhea Furthermore, i have vaginal itching Plus, i feel dry in the vaginal area I also experience i get acne due to hormones Also, i feel pain in my lower abdomen",GYNECOLOGY & OBSTETRICS
"Emergency presentation: abdominal distention, vitals show severe pain score 10 out of 10",GENERAL MEDICINE
"I have a throbbing headache On top of that, i have vertigo-like dizziness I also experience i have convulsions I also experience parts of my body feel numb I also experience i have a tingling sensation all over I also experience i have progressive muscle weakness Plus, my hands are shaking On top of that, i have memory loss Furthermore, i have mental confusion Furthermore, i feel unsteady Plus, i struggle to walk Also, i cannot speak clearly Plus, i have facial weakness I also experience i was unconscious for a period I also experience i have sharp nerve pain Additionally, i have rigid muscles Plus, i am clumsy Furthermore, i cannot sleep well",NEUROLOGY
I am experiencing lethargy,GENERAL MEDICINE
"Patient with chief complaint of psych evaluation, assessed for psychosis nos",PSYCHIATRY
"my baby feels very hot Additionally, my baby has a persistent cough Plus, my child has cold symptoms On top of that, my baby has a sore throat Plus, my infant has breathing problems Additionally, my baby is vomiting Additionally, my infant has abdominal pain Also, my infant has a red rash Plus, my baby had a seizure Also, my baby is not feeding well On top of that, my baby is inconsolable Additionally, my baby seems weak Plus, my child is not eating I also experience my baby is underweight I also experience my baby is smaller than expected Additionally, my baby is developing slowly On top of that, my baby has an ear infection On top of that, my baby has yellow skin Also, my baby has dry mouth and no tears Additionally, my baby is wheezing",PEDIATRICS
"I feel hot and feverish I also experience i am coughing a lot I also experience i feel exhausted Plus, i feel drained and weak I also experience i have a severe headache Also, i have vertigo-like dizziness On top of that, i have widespread body pain Also, i have stomach pain On top of that, i feel nauseous Additionally, i have been throwing up",GENERAL MEDICINE
Patient presents with hypothermia,ORTHOPEDICS
"Patient with chief complaint of hypothermia, assessed for excessive cold nos",GENERAL MEDICINE
"I have migraine-like headaches Also, i feel unsteady and dizzy Additionally, i have convulsions On top of that, i have numbness Also, i have tingling sensations Additionally, i cannot move my muscles properly Furthermore, i experience involuntary shaking Plus, my memory is getting worse On top of that, i am disoriented Also, i have balance problems Additionally, i struggle to walk Also, i cannot speak clearly Additionally, my facial muscles feel weak On top of that, i have lost consciousness Furthermore, i have sharp nerve pain I also experience my muscles are tight and stiff Also, i have poor coordination On top of that, i have sleep problems",NEUROLOGY
"Patient with chief complaint of assault, assessed for alcohol withdrawal",PSYCHIATRY
I am experiencing hyperglycemia,CARDIOLOGY
Patient presents with nausea and vomiting hyperglycemia,PULMONOLOGY
"Patient with chief complaint of right leg pain right leg swelling, assessed for long term current use of insulin",GENERAL MEDICINE
Patient presents with fatigue status post fall,ENDOCRINOLOGY
"I feel hot and feverish On top of that, i have a persistent cough Also, i have no energy On top of that, i have general weakness Furthermore, i have been having headaches Furthermore, the room feels like it is spinning Plus, i have widespread body pain Additionally, my stomach is hurting Additionally, i have an upset stomach with nausea Additionally, i am throwing up",GENERAL MEDICINE
"I have persistent head pain Additionally, i have vertigo-like dizziness Plus, i have convulsions I also experience i have numbness in my extremities I also experience i have a tingling sensation all over Additionally, my muscles feel weak On top of that, my hands are shaking Plus, i cannot remember recent events I also experience i am disoriented Additionally, i feel unsteady Additionally, i cannot walk properly I also experience i cannot speak clearly Plus, one side of my face feels weak On top of that, i blacked out Also, i experience shooting nerve pain Plus, i have rigid muscles Furthermore, i have poor coordination Additionally, i have sleep problems",NEUROLOGY
"I have polycystic ovary syndrome Plus, my menstrual cycle is irregular On top of that, i am experiencing issues during pregnancy Furthermore, i have menstrual problems Also, my period pain is mild I also experience i have heavy periods I also experience i have scanty periods Also, my period has been delayed Furthermore, i have amenorrhea On top of that, i have vaginal itching Plus, i experience vaginal dryness I also experience my acne is hormone-related Plus, i have lower abdominal pain",GYNECOLOGY & OBSTETRICS
"my baby has a fever Additionally, my child has a cough Furthermore, my child has cold symptoms Also, my infant has throat pain Also, my baby has breathing difficulty Additionally, my baby is vomiting Plus, my baby has stomach pain Plus, my baby has a skin rash I also experience my baby had a seizure episode Furthermore, my baby has poor appetite Additionally, my baby cries excessively On top of that, my infant appears weak and floppy Plus, my infant has no appetite I also experience my child is not gaining weight properly Additionally, my baby has delayed growth Also, my baby is developing slowly Plus, my child is pulling at their ear Plus, my baby has yellow skin Plus, my baby has dry mouth and no tears I also experience my baby is wheezing",PEDIATRICS
I am experiencing back pain decreased po intake r ear pain,ENDOCRINOLOGY
"Patient with chief complaint of epigastric pain, assessed for type 1 diabetes mellitus without complications",ENDOCRINOLOGY
"Dry eye irritation, burning feeling in eyes, redness, and eye strain.",OPHTHALMOLOGY
"I have polycystic ovary syndrome Plus, i have inconsistent menstrual cycles Additionally, i have pregnancy-related problems Furthermore, i have menstrual problems Also, i have mild menstrual cramps Also, my periods are very heavy Furthermore, my periods are barely there Also, my period is late I also experience i have a missed period On top of that, my vaginal area is very itchy On top of that, i have vaginal dryness Additionally, my acne is hormone-related Plus, my lower belly hurts",GYNECOLOGY & OBSTETRICS
"I have a severe headache I also experience the room feels like it is spinning Also, i have epilepsy-like seizures On top of that, i feel numbness in my body Plus, i experience tingling in my feet Plus, my muscles feel weak Additionally, i have a tremor in my hands Furthermore, i keep forgetting things Also, i feel confused Plus, i have trouble maintaining balance Furthermore, i walk with difficulty On top of that, my speech is slurred On top of that, i have facial weakness I also experience i have lost consciousness On top of that, i experience shooting nerve pain On top of that, my muscles are tight and stiff Additionally, i cannot coordinate my movements well Furthermore, i wake up frequently at night",NEUROLOGY
"I have vertigo-like dizziness Plus, i feel nauseous On top of that, i have pressure in my chest On top of that, i cannot breathe properly Furthermore, my heart skips beats Also, i have an uneven heartbeat Plus, i have high blood pressure Furthermore, i have been fainting On top of that, i have tachycardia Additionally, i have a slow heartbeat Furthermore, i can barely stay awake Additionally, my legs are swollen Additionally, i have a tight feeling in my chest Furthermore, i have ankle edema Furthermore, i am sweating excessively Plus, i have back pain",CARDIOLOGY
"I was diagnosed with PCOS Additionally, my periods are not regular Plus, i am experiencing issues during pregnancy Plus, i have menstrual problems I also experience i have mild period pain Additionally, i experience heavy menstrual bleeding Furthermore, i have scanty periods I also experience my period is late Also, i missed my period I also experience i feel itchy down there Additionally, my vaginal area lacks moisture Also, my acne is hormone-related Additionally, i have pain in my lower stomach area",GYNECOLOGY & OBSTETRICS
"I was diagnosed with PCOS On top of that, my menstrual cycle is irregular Furthermore, i am having pregnancy complications Furthermore, i have menstrual problems I also experience i have mild menstrual cramps Also, i have menorrhagia Additionally, my menstrual flow is very light Furthermore, i have a delayed period Additionally, i missed my period I also experience i have vaginal itching Also, i have vaginal dryness I also experience i have hormonal acne Furthermore, i have pain in my lower stomach area",GYNECOLOGY & OBSTETRICS
"my back hurts Also, i have numbness Plus, i struggle to walk I also experience my joints hurt Additionally, i feel pain in my neck Also, my knee hurts Furthermore, i have shoulder pain Furthermore, my hip hurts On top of that, my bones feel sore On top of that, my muscles are painful Additionally, my joints feel puffy and inflamed Also, i have joint stiffness I also experience i have limited range of motion Plus, i have a stress fracture Additionally, i experience muscle fatigue and weakness Furthermore, i have a constant tingling sensation On top of that, my heel feels painful Plus, i have a sports injury",ORTHOPEDICS
"I feel feverish Additionally, i keep coughing Additionally, i feel exhausted Also, i feel drained and weak On top of that, i have been having headaches I also experience i have vertigo-like dizziness Also, i feel achy all over Furthermore, i have lower abdominal pain Additionally, i have nausea Also, i have persistent vomiting",GENERAL MEDICINE
Patient presents with left leg pain status post fall,GENERAL MEDICINE
"Patient with chief complaint of hypotension, assessed for anemia unspecified",HEMATOLOGY
"I have back pain On top of that, i feel tingling and numb On top of that, i cannot walk properly On top of that, my joints are aching Also, my neck hurts On top of that, i have knee pain On top of that, my shoulder hurts On top of that, i have hip joint pain Furthermore, i have bone pain Also, my muscles are painful Plus, my joints feel puffy and inflamed Also, my joints feel rigid Additionally, i cannot move my joint fully Furthermore, i have a bone fracture On top of that, i have progressive muscle weakness On top of that, i have persistent tingling Plus, i have heel pain Plus, i got injured while playing sports",ORTHOPEDICS
"I have PCOS Also, i have inconsistent menstrual cycles Plus, i am experiencing issues during pregnancy Also, i have menstrual problems On top of that, my period pain is mild Furthermore, i have heavy periods Plus, my periods are barely there Plus, my period has been delayed Also, i have a missed period Additionally, i have persistent vaginal itching I also experience i have vaginal dryness Plus, my acne is hormone-related Additionally, i have lower abdominal pain",GYNECOLOGY & OBSTETRICS
"my body temperature is high Plus, i have a wet cough I also experience i feel weak and tired Additionally, i feel physically weak Additionally, i have a throbbing headache Plus, i feel lightheaded Furthermore, i feel achy all over Also, i have stomach pain Also, i feel nauseous Furthermore, i have been throwing up",GENERAL MEDICINE
"I have been having headaches I also experience i am experiencing dizziness Plus, i had a seizure episode Furthermore, i feel numbness in my body Also, i have pins and needles feeling Additionally, i cannot move my muscles properly I also experience i have tremors I also experience i have memory loss Furthermore, i am disoriented Additionally, i have poor balance and coordination Plus, i have difficulty walking Plus, i cannot speak clearly Additionally, i have facial paralysis Plus, i had a loss of consciousness I also experience i feel burning nerve pain I also experience i have rigid muscles Furthermore, i cannot coordinate my movements well On top of that, i wake up frequently at night",NEUROLOGY
"Patient with chief complaint of l foot swelling l foot pain, assessed for localized edema",GENERAL MEDICINE
"my baby has a fever Also, my child has a cough Plus, my child has cold symptoms On top of that, my child is complaining of throat pain Additionally, my baby is short of breath Furthermore, my child has been throwing up Furthermore, my child is crying from stomach pain Furthermore, my child has a rash on their body On top of that, my child is having convulsions On top of that, my baby is not feeding well Also, my child cries all the time Additionally, my child is lethargic I also experience my baby refuses to eat Plus, my baby is underweight Plus, my baby has delayed growth Plus, my child is not meeting milestones Plus, my baby has an ear infection Furthermore, my baby's skin is turning yellow On top of that, my baby has dry mouth and no tears Additionally, my baby is wheezing",PEDIATRICS
"I feel hot and feverish Also, i am coughing a lot Additionally, i am constantly fatigued On top of that, i feel weak all over Furthermore, my head hurts Additionally, i feel unsteady and dizzy Additionally, i have widespread body pain Additionally, i have lower abdominal pain Also, i feel queasy Also, i am throwing up",GENERAL MEDICINE
"Ear pain, ear discharge, blocked ears, and persistent throat irritation.",ENT
"my infant is feverish Furthermore, my baby is coughing Furthermore, my child has cold symptoms I also experience my infant has throat pain Furthermore, my baby has breathing difficulty Plus, my child has been throwing up Plus, my baby has stomach pain Also, my child has a rash on their body Furthermore, my baby had a seizure episode I also experience my baby is not feeding well I also experience my child cries all the time Also, my infant appears weak and floppy I also experience my child is not eating On top of that, my child is not gaining weight properly Plus, my infant has growth issues I also experience my baby has developmental delays Additionally, my child is pulling at their ear Additionally, my baby's skin is turning yellow Furthermore, my child is not drinking enough fluids Also, my baby wheezes when breathing",PEDIATRICS
"Patient with chief complaint of r foot pain, assessed for type 1 diabetes mellitus with hyperglycemia",ENDOCRINOLOGY
"Patient with chief complaint of diarrhea hypotension, assessed for dependence on renal dialysis",NEPHROLOGY
"I feel feverish I also experience i keep coughing Furthermore, i am constantly fatigued Additionally, i have general weakness Furthermore, my head hurts Also, i feel dizzy Furthermore, my body is sore On top of that, i have lower abdominal pain Also, i feel queasy Furthermore, i have been throwing up",GENERAL MEDICINE
"I have back pain Also, i feel tingling and numb Plus, i have difficulty walking Additionally, i feel pain in my joints Furthermore, my neck hurts I also experience my knee is swollen and painful I also experience i have a frozen shoulder Plus, i have hip joint pain Also, i have persistent bone pain Also, i have muscle pain I also experience i have inflamed swollen joints Additionally, my joints are stiff On top of that, i have limited range of motion I also experience my bone is broken Also, my muscle strength is declining Furthermore, i have a constant tingling sensation On top of that, i have heel pain Additionally, i got injured while playing sports",ORTHOPEDICS
"my infant is feverish Also, my infant is coughing a lot Furthermore, my baby has a cold I also experience my baby's throat is sore Furthermore, my child is struggling to breathe Additionally, my infant is vomiting Additionally, my infant has abdominal pain I also experience my baby's skin is irritated Plus, my baby had a seizure episode On top of that, my baby is not feeding well Furthermore, my baby is inconsolable Additionally, my infant appears weak and floppy Furthermore, my infant has no appetite I also experience my child is not gaining weight properly Furthermore, my baby is smaller than expected I also experience my child is not meeting milestones I also experience my baby has ear pain On top of that, my infant has jaundice Furthermore, my infant shows signs of dehydration On top of that, my baby wheezes when breathing",PEDIATRICS
"I feel dizzy Also, i feel nauseous On top of that, i feel a sharp pain in my chest Additionally, i have difficulty breathing I also experience my heart is beating fast On top of that, i have an irregular pulse Also, my BP readings are high I also experience i have been fainting Plus, my heart rate is elevated Also, i have a slow pulse rate Additionally, i have debilitating fatigue On top of that, my legs feel heavy and swollen On top of that, my chest feels tight Additionally, my ankles feel swollen and painful Also, i have excessive sweating Additionally, i have back pain",CARDIOLOGY
"I feel hot and feverish On top of that, i have a persistent cough On top of that, i feel very tired Plus, i feel drained and weak Also, my head hurts Plus, i am experiencing dizziness I also experience my whole body aches Also, my abdomen hurts Also, i have an upset stomach with nausea Also, i have been vomiting",GENERAL MEDICINE
"Wisdom tooth pain, swollen cheek, difficulty opening mouth, and gum inflammation.",DENTISTRY
"Patient with chief complaint of elevated inr, assessed for abnormal coagulation profile",GENERAL MEDICINE
I am experiencing foot laceration,ENDOCRINOLOGY
"Patient with chief complaint of dehydration nausea rash, assessed for hyperlipidemia unspecified",ENDOCRINOLOGY
"Patient with chief complaint of hypotension, assessed for sepsis unspecified organism",GENERAL MEDICINE
I am experiencing r foot ulcer cellulitis,CARDIOLOGY
"I feel dizzy I also experience i feel like I might throw up Furthermore, my chest feels tight and painful I also experience i have trouble catching my breath Additionally, i feel my heart pounding Also, i feel pulse irregularity Furthermore, my BP readings are high On top of that, i fainted recently Plus, my heart rate is elevated I also experience i have a slow pulse rate Additionally, i have extreme fatigue Furthermore, my legs feel heavy and swollen Also, my chest feels tight Furthermore, my ankles are puffy Also, i have excessive sweating Additionally, my back is very sore",CARDIOLOGY
"Patient with chief complaint of abdominal pain nausea vomiting and diarrhea, assessed for vasc insuff intest nos",GASTROENTEROLOGY
"my baby has a fever Also, my infant is coughing a lot On top of that, my infant has a cold Additionally, my infant has throat pain I also experience my baby has breathing difficulty On top of that, my infant is vomiting Plus, my baby has a stomach ache Furthermore, my infant has a red rash I also experience my child is having convulsions Also, my baby has poor appetite Also, my baby cries excessively Also, my baby has low energy I also experience my child is not eating I also experience my baby has low birth weight I also experience my infant has growth issues Additionally, my baby is developing slowly On top of that, my baby has ear pain Additionally, my child looks jaundiced Also, my baby has dry mouth and no tears I also experience my child has a wheezing sound when breathing",PEDIATRICS
I am experiencing depression anxiety,PSYCHIATRY
"I have a high temperature On top of that, i have a wet cough Furthermore, i have no energy I also experience i feel weak all over I also experience i have migraine-like headaches Furthermore, i feel dizzy Plus, i feel achy all over Also, my stomach is hurting On top of that, i have an upset stomach with nausea Also, i am throwing up",GENERAL MEDICINE
"my baby has a fever Furthermore, my infant is coughing a lot Additionally, my child has cold symptoms Plus, my infant has throat pain On top of that, my infant has breathing problems I also experience my baby cannot keep milk down Also, my child is crying from stomach pain Additionally, my child has a rash on their body Plus, my child is having convulsions Additionally, my infant is not drinking milk properly I also experience my baby is inconsolable Additionally, my infant appears weak and floppy Furthermore, my infant has no appetite Furthermore, my baby is underweight Additionally, my baby is smaller than expected Also, my baby has developmental delays Furthermore, my child is pulling at their ear Also, my baby has yellow skin On top of that, my baby is dehydrated Additionally, my baby is wheezing",PEDIATRICS
"Patient with chief complaint of l foot pain wound evaluation, assessed for essential primary hypertension",CARDIOLOGY
"my baby feels very hot I also experience my baby is coughing Also, my baby is sneezing and has a runny nose Additionally, my infant has throat pain Additionally, my infant has breathing problems Furthermore, my baby is vomiting Also, my child is crying from stomach pain Furthermore, my infant has a red rash Plus, my baby had a seizure Furthermore, my infant is not drinking milk properly Also, my child cries all the time Also, my baby has low energy Furthermore, my infant has no appetite Additionally, my baby is underweight On top of that, my infant has growth issues Also, my baby has developmental delays Also, my baby has an ear infection I also experience my infant has jaundice Additionally, my child is not drinking enough fluids On top of that, my infant has wheezing",PEDIATRICS
"the room feels like it is spinning On top of that, i feel like I might throw up Also, i feel a sharp pain in my chest On top of that, i have trouble catching my breath Plus, my heart is beating fast I also experience my pulse rate is inconsistent Additionally, i have high blood pressure Plus, i feel like I am going to pass out On top of that, my heart beats very fast I also experience my heart rate is low Plus, i have extreme fatigue Additionally, my legs feel heavy and swollen Plus, i have a tight feeling in my chest Furthermore, my ankles feel swollen and painful Furthermore, i have excessive sweating I also experience i have lower back pain",CARDIOLOGY
"I feel dizzy Furthermore, i have an upset stomach with nausea Furthermore, i have intermittent chest pain I also experience i am short of breath On top of that, i have heart palpitations Plus, i feel pulse irregularity Plus, i have hypertension Plus, i feel like I might faint Furthermore, i have a fast heartbeat I also experience my heart beats slowly On top of that, i can barely stay awake Additionally, my legs feel heavy and swollen Furthermore, i have a tight feeling in my chest I also experience i have swollen ankles Furthermore, i am sweating excessively Additionally, i have back pain",CARDIOLOGY
"the room feels like it is spinning Additionally, i feel queasy Additionally, i have pressure in my chest Also, i experience breathing difficulty Furthermore, i have heart palpitations I also experience my heartbeat is irregular Furthermore, my BP readings are high On top of that, i feel like I am going to pass out Plus, my heart rate is elevated Also, my heart beats slowly Also, i have debilitating fatigue On top of that, my legs feel heavy and swollen I also experience my chest feels tight I also experience my ankles feel swollen and painful Furthermore, i am drenched in sweat Furthermore, my back is very sore",CARDIOLOGY
"my back is very sore I also experience i feel numbness in my body Also, i have difficulty walking On top of that, my joints hurt On top of that, i feel pain in my neck On top of that, i have knee pain I also experience i have shoulder pain Plus, my hip hurts Also, my bones ache Also, my muscles ache Additionally, i have swollen joints Plus, my joints feel rigid Also, i have restricted movement Additionally, i fractured a bone Additionally, my muscle strength is declining Plus, i have persistent tingling I also experience i have heel pain Also, i have a sprain from sports",ORTHOPEDICS
"Patient with chief complaint of laryngitis shortness of breath with talking, assessed for cough",GENERAL MEDICINE
"I have a high temperature Plus, i am coughing a lot On top of that, i have no energy Additionally, i feel drained and weak Additionally, i have persistent head pain On top of that, i feel lightheaded Plus, i feel achy all over Also, i have lower abdominal pain Plus, i feel queasy I also experience i have been throwing up",GENERAL MEDICINE
"I feel dizzy I also experience i have an upset stomach with nausea Additionally, i have chest pain On top of that, i have trouble catching my breath On top of that, i have heart palpitations Furthermore, my heartbeat is irregular Additionally, i have high blood pressure Also, i have episodes of fainting Furthermore, i have a rapid pulse Additionally, i have a slow heartbeat Also, i have extreme fatigue Additionally, i have swelling in my legs On top of that, my chest feels constricted I also experience my ankles feel swollen and painful Additionally, i am drenched in sweat I also experience i have lower back pain",CARDIOLOGY
"I have back pain Also, i feel tingling and numb On top of that, i have trouble walking On top of that, i have joint pain Furthermore, i have a stiff neck On top of that, i have difficulty with my knee I also experience i have shoulder pain Furthermore, my hip hurts Furthermore, my bones feel sore Plus, i have muscle pain I also experience i have inflamed swollen joints I also experience my joints are stiff On top of that, i have restricted movement Furthermore, i have a stress fracture Additionally, my muscles are getting weaker Furthermore, i have persistent tingling On top of that, i have plantar fasciitis-like heel pain Furthermore, i injured myself during exercise",ORTHOPEDICS
"my baby has a fever Also, my child has a cough Plus, my baby is sneezing and has a runny nose Additionally, my baby has a sore throat Additionally, my child is struggling to breathe I also experience my child has been throwing up On top of that, my infant has abdominal pain I also experience my infant has a red rash On top of that, my infant had a fit Also, my infant is not drinking milk properly I also experience my infant cries uncontrollably Furthermore, my baby seems weak On top of that, my infant has no appetite Plus, my child is not gaining weight properly Plus, my baby has delayed growth Plus, my child is not meeting milestones Plus, my infant cries from ear pain I also experience my infant has jaundice On top of that, my infant shows signs of dehydration Plus, my child has a wheezing sound when breathing",PEDIATRICS
"I feel dizzy Also, i feel queasy I also experience i feel a sharp pain in my chest Furthermore, i have trouble catching my breath Plus, i have irregular heartbeats Also, my pulse rate is inconsistent On top of that, my blood pressure is elevated Additionally, i fainted recently Plus, my heart beats very fast On top of that, my heart rate is low Additionally, i can barely stay awake Plus, my ankles and legs are puffy Additionally, my chest feels tight I also experience i have ankle edema Additionally, i am drenched in sweat Additionally, my back is very sore",CARDIOLOGY
"Patient with chief complaint of facial droop, assessed for malignant neoplasm nos",ONCOLOGY
"Emergency presentation: transfer cva, vitals show severe pain score 7 out of 10",GENERAL MEDICINE
"I have cysts on my ovaries Also, my periods are not regular Additionally, i am having pregnancy complications I also experience i have issues with my periods Furthermore, i have mild period pain I also experience i experience heavy menstrual bleeding Additionally, i have scanty periods Also, i have a delayed period Additionally, i have amenorrhea On top of that, my vaginal area is very itchy I also experience i experience vaginal dryness Additionally, my acne is hormone-related Furthermore, i have pain in my lower stomach area",GYNECOLOGY & OBSTETRICS
"I have polycystic ovary syndrome Plus, my menstrual cycle is irregular On top of that, i am experiencing issues during pregnancy Additionally, i have issues with my periods Furthermore, my period pain is mild I also experience i have heavy periods Additionally, i have scanty periods Additionally, my period has been delayed Plus, i have a missed period Also, i feel itchy down there Additionally, i experience vaginal dryness Additionally, i get acne due to hormones Also, i have pain in my lower stomach area",GYNECOLOGY & OBSTETRICS
"Patient with chief complaint of cough dyspnea, assessed for fever unspecified",GENERAL MEDICINE
"my infant is feverish Plus, my baby has a persistent cough Plus, my child has cold symptoms Plus, my baby's throat is sore Additionally, my child is struggling to breathe Also, my infant is vomiting Also, my baby has a stomach ache Furthermore, my baby has a skin rash Also, my baby had a seizure Plus, my child refuses to eat On top of that, my baby is inconsolable On top of that, my baby has low energy On top of that, my infant has no appetite Furthermore, my baby is underweight I also experience my infant has growth issues I also experience my baby is developing slowly Furthermore, my baby has an ear infection On top of that, my infant has jaundice I also experience my infant shows signs of dehydration Additionally, my baby wheezes when breathing",PEDIATRICS
"Patient with chief complaint of car vs pole, assessed for lung contusion closed",PULMONOLOGY
"my body temperature is high Furthermore, i am coughing a lot Also, i have no energy Additionally, i feel physically weak Also, my head hurts Furthermore, i have vertigo-like dizziness I also experience i have widespread body pain Furthermore, my stomach is hurting Also, i am feeling sick to my stomach Additionally, i have persistent vomiting",GENERAL MEDICINE
"Symmetrical joint inflammation, wrist and knee pain, joint redness, and stiffness.",RHEUMATOLOGY
Patient presents with picc line infection,GENERAL MEDICINE
I am experiencing weakness abnormal labs,CARDIOLOGY
"I have persistent head pain On top of that, i feel dizzy Furthermore, i have convulsions I also experience i have numbness I also experience i experience tingling in my feet On top of that, i have muscle weakness Furthermore, i have tremors Plus, i have memory problems Furthermore, i feel muddled and confused On top of that, i have trouble maintaining balance I also experience i cannot walk properly Furthermore, i have speech problems Furthermore, my facial muscles feel weak I also experience i fainted and lost consciousness Also, i experience shooting nerve pain Furthermore, i have muscle stiffness Furthermore, i have poor coordination On top of that, i have insomnia",NEUROLOGY
"my baby has a fever On top of that, my baby has a persistent cough On top of that, my baby has a cold Furthermore, my infant has throat pain On top of that, my baby is short of breath Plus, my child has been throwing up I also experience my child is crying from stomach pain On top of that, my baby has a skin rash Plus, my child is having convulsions Furthermore, my baby has poor appetite Additionally, my infant cries uncontrollably I also experience my baby has low energy I also experience my baby has lost appetite I also experience my infant is too small Furthermore, my child is not growing properly Plus, my child is not meeting milestones Additionally, my child is pulling at their ear Also, my child looks jaundiced I also experience my infant shows signs of dehydration Additionally, my baby is wheezing",PEDIATRICS
"my back hurts Also, i feel numbness in my body I also experience i have trouble walking Additionally, my joints hurt Also, my neck hurts Furthermore, my knee hurts I also experience my shoulder is very sore Plus, i feel pain in my hip I also experience my bones feel sore On top of that, i feel muscle soreness I also experience my joints feel puffy and inflamed Plus, i have joint stiffness Plus, my movement is limited On top of that, my bone is broken I also experience i have progressive muscle weakness Plus, i feel tingling throughout my body I also experience my heel hurts when I walk On top of that, i have a sports injury",ORTHOPEDICS
I am experiencing shortness of breath abnl labs,PULMONOLOGY
Patient presents with status post fall sdh,ENDOCRINOLOGY
"my body temperature is high Plus, i have a wet cough Plus, i have no energy Also, i feel physically weak Also, my head hurts Additionally, i am experiencing dizziness Additionally, i have generalized body pain Plus, i have abdominal cramps Also, i have an upset stomach with nausea On top of that, i am throwing up",GENERAL MEDICINE
Patient presents with right leg pain right leg swelling,CARDIOLOGY
"I was diagnosed with PCOS Furthermore, i have inconsistent menstrual cycles Furthermore, i have problems with my pregnancy Also, i have issues with my periods Additionally, i have mild period pain On top of that, my periods are very heavy Plus, my periods are barely there Furthermore, my menstruation is overdue Furthermore, i missed my period Additionally, i have vaginal itching Also, my vaginal area lacks moisture Furthermore, i get acne due to hormones I also experience my lower belly hurts",GYNECOLOGY & OBSTETRICS
I am experiencing status post cardiac arrest,CARDIOLOGY
"my baby feels very hot Also, my baby is coughing Additionally, my baby has a cold Furthermore, my infant has throat pain Plus, my child is struggling to breathe Also, my child has been throwing up On top of that, my child is crying from stomach pain On top of that, my infant has a red rash On top of that, my baby had a seizure episode Plus, my infant is not drinking milk properly Furthermore, my infant cries uncontrollably Furthermore, my baby seems weak I also experience my child is not eating Plus, my infant is too small Also, my baby is smaller than expected Also, my child is not meeting milestones Additionally, my baby has ear pain On top of that, my infant has jaundice Furthermore, my infant shows signs of dehydration On top of that, my baby is wheezing",PEDIATRICS
I am experiencing abdominal pain abdominal distention,GENERAL MEDICINE
"I have polycystic ovary syndrome Also, i have inconsistent menstrual cycles I also experience i am having pregnancy complications Additionally, i experience menstrual difficulties Plus, i feel slight cramps during my period On top of that, i have menorrhagia I also experience i have scanty periods Also, i have a delayed period Furthermore, i missed my period Plus, i have persistent vaginal itching Additionally, i experience vaginal dryness Also, i have persistent acne from hormonal imbalance I also experience i have lower abdominal pain",GYNECOLOGY & OBSTETRICS
"Heat intolerance, sweating, rapid pulse, trembling hands, and weight loss.",ENDOCRINOLOGY
"I have a throbbing headache Furthermore, i feel lightheaded Also, i have epilepsy-like seizures Also, i feel numbness in my body On top of that, i have a tingling sensation all over I also experience i have muscle weakness On top of that, i experience involuntary shaking I also experience i cannot remember recent events Additionally, i have mental confusion Furthermore, i feel unsteady Additionally, i have trouble walking I also experience i have speech problems Additionally, i have facial paralysis Plus, i was unconscious for a period Furthermore, i have neuropathic pain Plus, i have muscle stiffness Plus, i have trouble with fine motor tasks I also experience i have insomnia",NEUROLOGY
"Emergency presentation: dyspnea, vitals show elevated temperature 99.1F, low oxygen saturation 94%",CARDIOLOGY
"I have lower back pain Also, i have numbness in my extremities Also, i have difficulty walking Also, i have painful joints I also experience my neck hurts Plus, my knee hurts I also experience i have a frozen shoulder On top of that, i have hip pain I also experience i have bone pain Also, i have muscle pain Furthermore, i have joint swelling Also, i have trouble moving my joints Also, my movement is limited On top of that, i have a stress fracture On top of that, i have progressive muscle weakness Furthermore, i experience unusual tingling Plus, i have pain in my heel Additionally, i have a sports injury",ORTHOPEDICS
"Patient with chief complaint of leg pain wound evaluation, assessed for oth places as the place of occurrence of the external cause",GENERAL MEDICINE
"Patient with chief complaint of r foot pain, assessed for hypertension nos",CARDIOLOGY
Patient presents with dehydration nausea rash,ENDOCRINOLOGY
